
1023		 pune		 mumbai		 pun-mum		 106.000000		 10.050000		 23.450001		 8
1026		 delhi		 pune		 delhi-pune		 500.000000		 12.000000		 2.000000		 42
1028		 pune		 delhi		 pun-delhi		 506.000000		 15.240000		 16.000000		 48
1056		 mumbai		 pune		 mum-pune		 100.000000		 23.010000		 9.000000		 10
1064		 nagpur		 pune		 nag-pune		 105.000000		 12.000000		 12.300000		 12
1111		 nashik		 nagpur		 nas-nag		 120.320000		 13.050000		 8.560000		 15
1111		 mumbai		 pune		 mum-pune		 102.000000		 12.100000		 23.100000		 12
1548		 delhi		 nagpur		 delhi-nag		 560.979980		 20.450001		 1.320000		 50
1567		 chandi		 delhi		 cdg-delhi		 106.000000		 21.049999		 3.450001		 21
2222		 chandi		 chenn		 cdg-chenn		 986.000000		 11.050000		 21.450001		 32
2456		 chandi		 pune		 cdg-pune		 766.000000		 10.050000		 3.450001		 9
2465		 chandi		 bangl		 cdg-bang		 666.000000		 10.050000		 15.450001		 32
2561		 mumbai		 chenn		 mum-chenn		 656.000000		 10.050000		 22.450001		 12
2561		 nashik		 pune		 nas-pune		 106.000000		 10.050000		 21.450001		 61
2645		 delhi		 chenn		 delhi-chenn		 896.000000		 10.050000		 11.450001		 12
2645		 pune		 nashik		 pune-nas		 106.000000		 10.050000		 3.450001		 32
2982		 pune		 banglo		 pune-bang		 406.000000		 12.050000		 6.450001		 23
3456		 mumbai		 pune		 mum-pune		 106.000000		 23.049999		 1.450001		 16
3462		 delhi		 thane		 delhi-thane		 886.000000		 10.450000		 20.450001		 23
3561		 nashik		 delhi		 nas-delhi		 576.000000		 2.550000		 4.450001		 82
3562		 mumbai		 thane		 mum-thane		 786.000000		 10.500000		 11.450001		 28
3589		 delhi		 assam		 delhi-assam		 406.000000		 13.050000		 16.450001		 15
5143		 pune		 bengal		 pune-ben		 206.000000		 23.049999		 5.450001		 23
5485		 nashik		 bengal		 nas-kashmir		 346.000000		 7.500000		 6.450001		 46
5489		 mumbai		 pune		 mum-pune		 756.000000		 10.050000		 23.450001		 16
5612		 pune		 mumbai		 pune-mumbai		 356.000000		 14.050000		 21.450001		 49
5621		 delhi		 nagpur		 delhi-nag		 546.000000		 8.050000		 10.450001		 15
5891		 pune		 mumbai		 express		 253.000000		 6.050000		 7.450001		 14
6345		 assam		 pune		 assam-pune		 156.000000		 9.050000		 23.450001		 16
6485		 pune		 chenn		 pune-chenn		 124.000000		 10.050000		 6.450001		 13
6524		 nashik		 chenn		 nas-chenn		 258.000000		 15.050000		 9.450001		 86
6789		 pune		 assam		 pune-assam		 669.000000		 19.049999		 8.450001		 16
7894		 pune		 asdf		 pune-asdf		 102.000000		 12.500000		 23.400000		 13
8594		 delhi		 j&k		 delhi-jk		 1023.000000		 12.030000		 6.110000		 13
8954		 pune		 mumbai		 rajdhani		 102.029999		 12.000000		 12.050000		 6
