
1025		 pune		 mumbai		 pun-mum		 106.000000		 10.050000		 23.450001		 8
5555		 goa		 pune		 goa-pune		 123.000000		 12.560000		 1.000000		 8
156		 as		 as		 as		 12.000000		 12.000000		 12.000000		 12
1023		 delhi		 up		 delhi-up		 102.000000		 12.360000		 23.150000		 13
1064		 pune		 delhi		 pun-delhi		 506.000000		 15.240000		 16.000000		 48
2645		 mumbai		 pune		 mum-pune		 100.000000		 23.010000		 9.000000		 10
2982		 nashik		 nagpur		 nas-nag		 120.320000		 13.050000		 8.560000		 15
1111		 mumbai		 pune		 mum-pune		 102.000000		 12.100000		 23.100000		 12
1548		 delhi		 nagpur		 delhi-nag		 560.979980		 20.450001		 1.320000		 50
6485		 chandi		 delhi		 cdg-delhi		 106.000000		 21.049999		 3.450001		 21
2456		 chandi		 chenn		 cdg-chenn		 986.000000		 11.050000		 21.450001		 32
8594		 chandi		 pune		 cdg-pune		 766.000000		 10.050000		 3.450001		 9
5143		 chandi		 bangl		 cdg-bang		 666.000000		 10.050000		 15.450001		 32
5891		 mumbai		 chenn		 mum-chenn		 656.000000		 10.050000		 22.450001		 12
5489		 nashik		 pune		 nas-pune		 106.000000		 10.050000		 21.450001		 61
3456		 delhi		 chenn		 delhi-chenn		 896.000000		 10.050000		 11.450001		 12
1567		 pune		 nashik		 pune-nas		 106.000000		 10.050000		 3.450001		 32
7894		 pune		 banglo		 pune-bang		 406.000000		 12.050000		 6.450001		 23
3462		 mumbai		 pune		 mum-pune		 106.000000		 23.049999		 1.450001		 16
6345		 delhi		 thane		 delhi-thane		 886.000000		 10.450000		 20.450001		 23
8954		 nashik		 delhi		 nas-delhi		 576.000000		 2.550000		 4.450001		 82
6789		 mumbai		 thane		 mum-thane		 786.000000		 10.500000		 11.450001		 28
5485		 delhi		 assam		 delhi-assam		 406.000000		 13.050000		 16.450001		 15
6524		 pune		 bengal		 pune-ben		 206.000000		 23.049999		 5.450001		 23
3562		 nashik		 bengal		 nas-kashmir		 346.000000		 7.500000		 6.450001		 46
2465		 mumbai		 pune		 mum-pune		 756.000000		 10.050000		 23.450001		 16
3561		 pune		 mumbai		 pune-mumbai		 356.000000		 14.050000		 21.450001		 49
2561		 delhi		 nagpur		 delhi-nag		 546.000000		 8.050000		 10.450001		 15
3589		 pune		 mumbai		 express		 253.000000		 6.050000		 7.450001		 14
2645		 assam		 pune		 assam-pune		 156.000000		 9.050000		 23.450001		 16
5621		 pune		 chenn		 pune-chenn		 124.000000		 10.050000		 6.450001		 13
2561		 nashik		 chenn		 nas-chenn		 258.000000		 15.050000		 9.450001		 86
5612		 pune		 assam		 pune-assam		 669.000000		 19.049999		 8.450001		 16
1028		 pune		 asdf		 pune-asdf		 102.000000		 12.500000		 23.400000		 13
1056		 delhi		 j&k		 delhi-jk		 1023.000000		 12.030000		 6.110000		 13
1111		 as		 as		 as		 12.000000		 12.000000		 12.000000		 12
1223		 pune		 goa		 pune-goa		 132.000000		 12.300000		 12.600000		 12
1122		 pune		 chenn		 pune-chenn		 250.000000		 12.560000		 1.000000		 24
1256		 pune		 bhopal		 pune-bhopal		 156.000000		 15.230000		 16.000000		 26
